########################################################
x         M
1.1152311976373657e-08 41505518.28323209
1.1307560305609024e-08 40935664.04597531
1.1464969804992916e-08 40373633.683514535
1.1624570559592489e-08 39819319.7771649
1.1786393073281007e-08 39272616.38306082
1.1950468274567945e-08 38733419.0119039
1.21168275225102e-08 38201624.60899151
1.2285502612705668e-08 37677131.534522414
1.2456525783370184e-08 37159839.544170976
1.2629929721499104e-08 36649649.76992499
1.2805747569114629e-08 36146464.701192185
1.298401292960012e-08 35650188.166163966
1.3164759874122585e-08 35160725.31342867
1.334802294814456e-08 34677982.59385208
1.353383717802666e-08 34201867.74269052
1.372223807772202e-08 33732289.76195962
1.3913261655563948e-08 33269158.903040506
1.4106944421148054e-08 32812386.64952987
1.430332339231019e-08 32361885.700318284
1.450243610220152e-08 31917569.95290718
1.4704320606462096e-08 31479354.48695085
1.490901549049427e-08 31047155.548027735
1.5116559876837387e-08 30620890.531630654
1.5326993432645113e-08 30200477.967380293
1.5540356377266873e-08 29785837.50345478
1.5756689489934815e-08 29376889.89122971
1.5976034117557785e-08 28973556.970135137
1.6198432182623803e-08 28575761.65271288
1.6423926191212548e-08 28183427.90988784
1.6652559241119375e-08 27796480.75643244
1.6884375030092435e-08 27414846.236638844
1.711941786418445e-08 27038451.41018054
1.7357732666220768e-08 26667224.33817459
1.7599364984385273e-08 26301094.069429923
1.7844361000925844e-08 25939990.626887467
1.8092767540980985e-08 25583844.99424705
1.8344632081529328e-08 25232589.10277496
1.860000276046375e-08 24886155.818293624
1.885892838579172e-08 24544478.92835274
1.9121458444963867e-08 24207493.12957294
1.9387643114332256e-08 23875134.01516474
1.9657533268740436e-08 23547338.062618613
1.9931180491246928e-08 23224042.621564228
2.020863708298413e-08 22905185.90179701
2.04899560731544e-08 22590706.961467534
2.0775191229165307e-08 22280545.695434365
2.106439706690604e-08 21974642.82377581
2.1357628861166776e-08 21672939.880461544
2.165494265620315e-08 21375379.2021758
2.195639527644776e-08 21081903.917298608
2.226204433737084e-08 20792457.93503538
2.257194825649204e-08 20506985.934694946
2.288616626454556e-08 20225433.355119698
2.3204758416800687e-08 19947746.384253908
2.3527785604539933e-08 19673871.948861133
2.3855309566696925e-08 19403757.704380207
2.418739290165636e-08 19137352.0249202
2.4524099079218164e-08 18874603.993393198
2.486549245272826e-08 18615463.391783554
2.5211638271378138e-08 18359880.691548966
2.5562602692675706e-08 18107807.044155784
2.5918452795089703e-08 17859194.27174054
2.6279256590870155e-08 17613994.857904106
2.6645083039047287e-08 17372161.938628323
2.701600205861141e-08 17133649.293320276
2.739208454187624e-08 16898411.33597755
2.777340236802828e-08 16666403.10647617
2.816002841686484e-08 16437580.261976646
2.8552036582723226e-08 16211899.068449406
2.89495017886039e-08 15989316.392316863
2.9352500000490225e-08 15769789.692207595
2.976110824186754e-08 15553277.01082748
3.0175404608444366e-08 15339736.966939265
3.059546828307854e-08 15129128.747453747
3.1021379550911104e-08 14921412.099629901
3.145321981471093e-08 14716547.32338067
3.189107161043288e-08 14514495.26368608
3.2335018622992604e-08 14315217.303108796
3.2785145702260923e-08 14118675.354414053
3.32415388792808e-08 13924831.853289409
3.3704285382710215e-08 13733649.7511664
3.417347365549374e-08 13545092.508137504
3.464919337176636e-08 13359124.085975826
3.513153545399253e-08 13175708.941242464
3.562059209034381e-08 12994812.018497948
3.611645675231846e-08 12816398.743598431
3.6619224212606286e-08 12640435.017090868
3.712899056320214e-08 12466887.207692694
3.764585323377165e-08 12295722.145866057
3.816991101027257e-08 12126907.117476918
3.870126405383532e-08 11960409.857544906
3.924001391990644e-08 11796198.544072052
3.978626357765848e-08 11634241.791965954
4.0340117429670046e-08 11474508.64703723
4.090168133187997e-08 11316968.58008526
4.147106261381901e-08 11161591.481063457
4.204837009912344e-08 11008347.653322652
4.263371412633401e-08 10857207.80793721
4.322720656998459e-08 10708143.058105955
4.3828960861984265e-08 10561124.913631624
4.443909201329716e-08 10416125.275475115
4.5057716635924015e-08 10273116.430385701
4.568495296518984e-08 10132071.045602618
4.632092088234169e-08 9992962.16363406
4.6965741937461204e-08 9855763.197101444
4.761953937269589e-08 9720447.92366026
4.828243814581403e-08 9586990.480986783
4.895456495408728e-08 9455365.36183619
4.963604825850589e-08 9325547.409166457
5.032701830833092e-08 9197511.811330728
5.102760716598828e-08 9071234.09733493
5.1737948732309336e-08 8946690.132160395
5.245817877212283e-08 8823856.112151626
5.3188434940203096e-08 8702708.560465852
5.392885680757948e-08 8583224.322587322
5.4679585888212004e-08 8465380.561899833
5.544076566603839e-08 8349154.7553239865
5.621254162239759e-08 8234524.689011044
5.6995061263835065e-08 8121468.45409769
5.778847415029513e-08 8009964.44251888
5.859293192370578e-08 7899991.342877592
5.940858833696144e-08 7791528.136371332
6.02355992833091e-08 7684554.092775531
6.107412282614363e-08 7579048.766481078
6.192431922921785e-08 7474991.992586077
6.278635098727306e-08 7372363.883042795
6.366038285709608e-08 7271144.822855669
6.454658188900853e-08 7171315.466332488
6.544511745879455e-08 7072856.733386929
6.635616130007293e-08 6975749.805892123
6.727988753711984e-08 6879976.124083413
6.821647271814861e-08 6785517.383011254
6.916609584905266e-08 6692355.5290431315
7.012893842761817e-08 6600472.7564119985
7.110518447821313e-08 6509851.503813685
7.209502058695913e-08 6420474.451051077
7.309863593739288e-08 6332324.51572223
7.411622234662413e-08 6245384.849956737
7.514797430199688e-08 6159638.837195187
7.619408899826102e-08 6075070.089012973
7.725476637526151e-08 5991662.441988625
7.833020915615185e-08 5909399.954614181
7.942062288614003e-08 5828266.904248162
8.052621597177345e-08 5748247.784111189
8.164719972077088e-08 5669327.300321536
8.278378838240889e-08 5591490.368972176
8.393619918847048e-08 5514722.113248896
8.510465239476378e-08 5439007.860585289
8.628937132321866e-08 5364333.139859475
8.749058240456933e-08 5290683.678628281
8.87085152216313e-08 5218045.400399311
8.994340255318052e-08 5146404.421940284
9.119548041844355e-08 5075747.050626572
9.246498812220703e-08 5006059.781822587
9.375216830055498e-08 4937329.296302512
9.5057266967243e-08 4869542.457703537
9.638053356071786e-08 4802686.310015777
9.772222099179168e-08 4736748.07510554
9.908258569197993e-08 4671715.150273942
1.0046188766251193e-07 4607575.105847658
1.0186039052402421e-07 4544315.682803498
1.0327836156694503e-07 4481924.790425613
1.0471607180258067e-07 4420390.503994482
1.061737960149128e-07 4359701.062508248
1.076518128131168e-07 4299844.866434486
1.0915040468481133e-07 4240810.47549366
1.1066985805004897e-07 4182586.6064726943
1.1221046331605877e-07 4125162.131068265
1.1377251493275045e-07 4068526.0737602646
1.1535631144899165e-07 4012667.6097142044
1.1696215556966823e-07 3957576.0627120445
1.1859035421353925e-07 3903240.9031123957
1.2024121857189705e-07 3849651.745837629
1.2191506416804417e-07 3796798.3483894295
1.2361221091759786e-07 3744670.608891306
1.253329831896346e-07 3693258.5641578557
1.2707770986868525e-07 3642552.3877908466
1.2884672441759364e-07 3592542.3883012417
1.3064036494124994e-07 3543219.00725694
1.3245897425121138e-07 3494572.8174565258
1.3430289993122253e-07 3446594.5211269124
1.361724944036475e-07 3399274.9481474324
1.380681149968272e-07 3352605.0542964726
1.399901240133741e-07 3306575.919523896
1.419388887994176e-07 3261178.7462458448
1.4391478181481364e-07 3216404.857663914
1.4591818070433136e-07 3172245.696106694
1.4794946836983102e-07 3128692.821394807
1.5000903304344645e-07 3085737.909227636
1.5209726836178628e-07 3043372.749592967
1.5421457344116845e-07 3001589.245197842
1.563613529539015e-07 2960379.4099214994
1.585380172056281e-07 2919735.367288952
1.6074498221374518e-07 2879649.3489660616
1.6298266978691572e-07 2840113.6932754014
1.6525150760568755e-07 2801120.843731483
1.675519293042339e-07 2762663.347597475
1.6988437455323268e-07 2724733.8544607917
1.722492891438986e-07 2687325.1148284166
1.7464712507318594e-07 2650429.9787418772
1.7707834063017653e-07 2614041.3944105767
1.7954340048367117e-07 2578152.406864726
1.8204277577099969e-07 2542756.1566260527
1.8457694418806777e-07 2507845.878396989
1.8714639008065706e-07 2473414.8997680186
1.8975160453699613e-07 2439456.639942466
1.9239308548162067e-07 2405964.608479084
1.950713377705394e-07 2372932.404051744
1.977868732877257e-07 2340353.7132259267
2.0054021104295152e-07 2308222.309252619
2.033318772709841e-07 2276532.050877915
2.0616240553216317e-07 2245276.8811698267
2.0903233681437786e-07 2214450.826360367
2.1194221963646414e-07 2184047.994704238
2.1489261015304078e-07 2154062.575352613
2.1788407226080493e-07 2124488.837242862
2.2091717770630803e-07 2095321.1280028594
2.2399250619523082e-07 2066553.8728711645
2.2711064550318086e-07 2038181.5736311104
2.3027219158803125e-07 2010198.8075604017
2.334777487038243e-07 1982600.226394359
2.367279295162597e-07 1955380.5553038078
2.400233552197915e-07 1928534.5918868945
2.433646556563541e-07 1902057.2051747898
2.467524694357419e-07 1875943.334650962
2.5018744405766387e-07 1850187.9892836711
2.536702360354981e-07 1824786.2465723327
2.572015110217685e-07 1799733.2516063487
2.6078194393536836e-07 1775024.2161371792
2.644122190905548e-07 1750654.4176631118
2.6809303032773933e-07 1726619.1985265445
2.7182508114609906e-07 1702913.9650235255
2.7560908483803325e-07 1679534.1865257837
2.794457646254926e-07 1656475.3946146027
2.8333585379820545e-07 1633733.1822266683
2.8728009585382905e-07 1611303.2028115678
2.91279244640051e-07 1589181.1695008266
2.953340644986694e-07 1567362.8542885121
2.994453304116785e-07 1545844.0872229584
3.0361382814938815e-07 1524620.7556095487
3.078403544206048e-07 1503688.803224513
3.1212571702490325e-07 1483044.229539478
3.1647073500701893e-07 1462683.0889566378
3.2087623881338786e-07 1442601.4900545985
3.253430704508673e-07 1422795.5948442456
3.2987208364766507e-07 1403261.618035101
3.34464144016509e-07 1383995.8263116644
3.391201292200887e-07 1364994.5376196378
3.4384092913879934e-07 1346254.120462083
3.4862744604082134e-07 1327770.9932050135
3.534805947545673e-07 1309541.6233926816
3.584013028435293e-07 1291562.527072401
3.633905107835613e-07 1273830.2681282333
3.684491721426277e-07 1256341.4576241707
3.735782537630557e-07 1239092.753156457
3.78778735946324e-07 1222080.8582140363
3.840516126404237e-07 1205302.5215489073
3.893978916298286e-07 1188754.5365540534
3.948185947281078e-07 1172433.7406507581
4.003147579732223e-07 1156337.0146837684
4.058874318255378e-07 1140461.2823249672
4.115376813685961e-07 1124803.5094854266
4.1726658651267964e-07 1109360.7037350282
4.2307524220121093e-07 1094129.9137306402
4.289647586200248e-07 1079108.2286518074
4.3493626140955366e-07 1064292.7776441067
4.4099089187996716e-07 1049680.7292705525
4.4712980722930637e-07 1035269.290970024
4.5335418076465406e-07 1021055.7085236015
4.5966520212638494e-07 1007037.2655279158
4.6606407751553654e-07 993211.2828758378
4.725520299243462e-07 979575.1182443359
4.791302993699963e-07 966126.1655892885
4.858001431316144e-07 952861.8546473073
4.925628359905715e-07 939779.6504443462
4.994196704741274e-07 926877.0528112114
5.063719571024645e-07 914151.5959053648
5.134210246391639e-07 901600.8477397677
5.205682203451666e-07 889222.4097178971
5.278149102362698e-07 877013.9161750936
5.351624793442085e-07 864973.0339265168
5.426123319813709e-07 853097.461821004
5.501658920091999e-07 841384.9303012659
5.578246031103295e-07 829833.2009699503
5.655899290645106e-07 818440.0661618412
5.734633540283778e-07 807203.3485217874
5.814463828191097e-07 796120.9005885831
5.895405412020396e-07 785190.6043843284
5.977473761822688e-07 774410.3710097387
6.060684563003393e-07 763778.1402447434
6.145053719320234e-07 753291.8801547466
6.230597355922862e-07 742949.5867021859
6.317331822434787e-07 732749.283363514
6.405273696078222e-07 722689.0207513839
6.494439784842423e-07 712766.8762420408
6.584847130696134e-07 702980.9536078688
6.67651301284475e-07 693329.3826548974
6.769454951032834e-07 683810.3188654009
6.863690708892583e-07 674421.943045348
6.959238297338936e-07 665162.4609766608
7.056115978011923e-07 656030.1030742705
7.15434226676694e-07 647023.1240480248
7.253935937213623e-07 638139.8025689758
7.354916024303959e-07 629378.4409404488
7.457301827970375e-07 620737.364773663
7.561112916814458e-07 612214.9226675382
7.66636913184702e-07 603809.4858932252
7.773090590280238e-07 595519.4480827856
7.881297689372578e-07 587343.22492219
7.991011110327247e-07 579279.2538485315
8.102251822244898e-07 571325.9937513907
8.215041086131393e-07 563481.9246783585
8.329400458961323e-07 555745.5475444236
8.445351797798108e-07 548115.3838456731
8.562917263971463e-07 540589.9753765813
8.682119327313e-07 533167.8839514215
8.802980770450794e-07 525847.6911293706
8.925524693163755e-07 518627.9979434613
9.04977451679658e-07 511507.4246332221
9.175753988736201e-07 504484.6103809801
9.303487186950521e-07 497558.2130518561
9.432998524590337e-07 490726.9089372185
9.564312754655354e-07 483989.3925017264
9.697454974725093e-07 477344.3761338665
9.832450631755739e-07 470790.58989987837
9.969325526943674e-07 464326.781301016
1.0108105820656795e-06 457951.71503425506
1.0248818037434426e-06 451664.17275619885
1.0391489071056851e-06 445462.95285021496
1.0536146189685426e-06 439346.8701968674
1.0682817041074228e-06 433314.7559473581
1.0831529657854266e-06 427365.45730021276
1.0982312462891254e-06 421497.8372809638
1.1135194274717955e-06 415710.77452483255
1.129020431304216e-06 410003.16306246613
1.1447372204331345e-06 404373.9121085661
1.1606727987475038e-06 398821.9458534247
1.1768302119526068e-06 393346.20325735694
1.193212548152168e-06 387945.63784786983
1.2098229384385717e-06 382619.21751971665
1.2266645574912951e-06 377365.92433766264
1.2437406241836734e-06 372184.75434190995
1.2610544021981092e-06 367074.7173562235
1.2786092006498488e-06 362034.8367987369
1.2964083747194396e-06 357064.14949526044
1.3144553262939933e-06 352161.70549529494
1.3327535046173753e-06 347326.5678903373
1.3513064069494443e-06 342557.81263497996
1.3701175792344726e-06 337854.5283701856
1.3891906167788657e-06 333215.8162492048
1.4085291649383207e-06 328640.7897656841
1.4281369198145492e-06 324128.57458437193
1.4480176289616985e-06 319678.30837389117
1.4681750921026064e-06 315289.14064197557
1.4886131618550298e-06 310960.23257298174
1.5093357444679776e-06 306690.7568674658
1.5303468005682989e-06 302479.8975841356
1.5516503459176618e-06 298326.84998391755
1.5732504521800698e-06 294230.8203760579
1.595151247700064e-06 290191.02596657816
1.6173569182917569e-06 286206.69470853603
1.6398717080388515e-06 282277.0651545234
1.6626999201057958e-06 278401.38631112286
1.6858459175602302e-06 274578.9174953743
1.709314124206884e-06 270808.92819323065
1.73310902543308e-06 267090.6979198966
1.7572351690660087e-06 263423.51608217286
1.7816971662419373e-06 259806.68184260634
1.806499692287518e-06 256239.50398555558
1.831647487613365e-06 252721.30078508577
